"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 02, 2017","3,637.60","3,665.37","3,667.14","3,607.71","-","0.50%"
"Aug 01, 2017","3,619.60","3,618.72","3,622.49","3,605.91","-","0.44%"
"Jul 31, 2017","3,603.89","3,639.46","3,643.51","3,596.50","-","-0.69%"
"Jul 28, 2017","3,628.83","3,614.40","3,638.52","3,604.76","-","0.08%"
"Jul 27, 2017","3,625.75","3,686.25","3,691.88","3,576.34","-","-1.02%"
"Jul 26, 2017","3,663.02","3,667.26","3,670.75","3,653.64","-","0.28%"
"Jul 25, 2017","3,652.78","3,643.00","3,662.17","3,635.92","-","-0.35%"
"Jul 24, 2017","3,665.60","3,650.68","3,672.89","3,645.86","-","0.40%"
"Jul 21, 2017","3,650.96","3,641.01","3,651.83","3,632.32","-","-0.19%"
"Jul 20, 2017","3,658.03","3,665.88","3,667.06","3,639.48","-","-0.04%"
"Jul 19, 2017","3,659.52","3,645.60","3,666.66","3,643.72","-","0.70%"
"Jul 18, 2017","3,634.21","3,603.18","3,634.31","3,593.26","-","0.59%"
"Jul 17, 2017","3,612.81","3,617.40","3,626.32","3,604.93","-","0.04%"
"Jul 14, 2017","3,611.46","3,588.58","3,615.69","3,583.32","-","1.00%"
"Jul 13, 2017","3,575.71","3,567.36","3,590.19","3,565.02","-","0.37%"
"Jul 12, 2017","3,562.67","3,542.03","3,566.87","3,534.97","-","1.38%"
"Jul 11, 2017","3,514.28","3,491.69","3,517.69","3,484.68","-","0.50%"
"Jul 10, 2017","3,496.97","3,471.22","3,506.54","3,462.11","-","0.84%"
"Jul 07, 2017","3,467.73","3,435.96","3,480.69","3,435.96","-","1.34%"
"Jul 06, 2017","3,421.83","3,418.59","3,441.44","3,406.68","-","-0.76%"
"Jul 05, 2017","3,447.96","3,421.09","3,457.30","3,409.17","-","1.23%"
"Jul 03, 2017","3,406.13","3,462.24","3,464.19","3,399.61","-","-1.01%"
"Jun 30, 2017","3,440.98","3,461.76","3,467.26","3,434.46","-","-0.14%"
"Jun 29, 2017","3,445.76","3,488.64","3,489.49","3,412.75","-","-1.94%"
"Jun 28, 2017","3,513.85","3,477.26","3,517.37","3,448.79","-","1.46%"
"Jun 27, 2017","3,463.42","3,515.03","3,520.67","3,463.42","-","-2.01%"
"Jun 26, 2017","3,534.32","3,583.41","3,595.48","3,530.30","-","-0.82%"
"Jun 23, 2017","3,563.71","3,534.44","3,570.89","3,529.49","-","0.72%"
"Jun 22, 2017","3,538.22","3,543.36","3,551.68","3,525.44","-","-0.15%"
"Jun 21, 2017","3,543.48","3,526.59","3,545.29","3,517.12","-","0.85%"
"Jun 20, 2017","3,513.54","3,545.68","3,549.09","3,513.20","-","-0.92%"
"Jun 19, 2017","3,546.23","3,515.29","3,548.50","3,514.16","-","1.87%"
"Jun 16, 2017","3,481.25","3,483.27","3,496.95","3,466.61","-","-0.30%"
"Jun 15, 2017","3,491.72","3,461.31","3,497.41","3,444.05","-","-0.60%"
"Jun 14, 2017","3,512.81","3,552.01","3,552.36","3,480.21","-","-0.68%"
"Jun 13, 2017","3,536.94","3,537.06","3,552.13","3,504.79","-","0.84%"
"Jun 12, 2017","3,507.58","3,479.72","3,515.93","3,431.87","-","-0.91%"
"Jun 09, 2017","3,539.88","3,666.59","3,670.85","3,479.83","-","-3.32%"
"Jun 08, 2017","3,661.30","3,657.59","3,662.53","3,633.17","-","0.52%"
"Jun 07, 2017","3,642.19","3,640.55","3,647.56","3,623.05","-","0.37%"
"Jun 06, 2017","3,628.84","3,624.59","3,648.23","3,622.00","-","-0.03%"
"Jun 05, 2017","3,629.89","3,625.26","3,644.95","3,621.61","-","0.03%"
"Jun 02, 2017","3,628.73","3,597.06","3,628.73","3,587.43","-","1.27%"
"Jun 01, 2017","3,583.25","3,582.25","3,586.64","3,559.08","-","0.29%"
"May 31, 2017","3,572.91","3,604.05","3,604.21","3,564.63","-","-0.49%"
"May 30, 2017","3,590.38","3,579.74","3,593.80","3,576.69","-","0.26%"
"May 26, 2017","3,581.04","3,575.58","3,582.00","3,566.86","-","0.09%"
"May 25, 2017","3,577.66","3,559.63","3,586.23","3,549.73","-","0.84%"
"May 24, 2017","3,547.88","3,546.11","3,549.38","3,535.62","-","0.42%"
