"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 19, 2017","5,523.7","5,555.1","5,556.0","5,516.2","-","-0.44%"
"Dec 18, 2017","5,547.9","5,543.7","5,560.3","5,539.1","-","0.72%"
"Dec 15, 2017","5,508.5","5,479.0","5,517.4","5,479.0","-","0.80%"
"Dec 14, 2017","5,464.6","5,464.5","5,489.7","5,459.3","-","0.07%"
"Dec 13, 2017","5,460.7","5,470.4","5,478.1","5,454.8","-","0.04%"
"Dec 12, 2017","5,458.3","5,461.8","5,470.9","5,449.6","-","0.12%"
"Dec 11, 2017","5,451.9","5,428.6","5,452.1","5,424.6","-","0.46%"
"Dec 08, 2017","5,426.8","5,444.4","5,449.4","5,418.0","-","0.23%"
"Dec 07, 2017","5,414.1","5,400.8","5,435.3","5,391.3","-","0.22%"
"Dec 06, 2017","5,402.1","5,401.3","5,410.9","5,387.2","-","-0.04%"
"Dec 05, 2017","5,404.2","5,411.2","5,454.3","5,402.6","-","-0.22%"
"Dec 04, 2017","5,416.2","5,470.1","5,480.7","5,408.9","-","-0.15%"
"Dec 01, 2017","5,424.6","5,419.2","5,441.6","5,346.5","-","-0.22%"
"Nov 30, 2017","5,436.7","5,414.9","5,440.5","5,407.3","-","0.73%"
"Nov 29, 2017","5,397.2","5,425.6","5,429.2","5,371.4","-","-0.49%"
"Nov 28, 2017","5,423.7","5,393.9","5,423.7","5,380.5","-","0.81%"
"Nov 27, 2017","5,379.9","5,409.6","5,414.5","5,375.6","-","-0.25%"
"Nov 24, 2017","5,393.5","5,387.4","5,394.2","5,382.0","-","0.30%"
"Nov 22, 2017","5,377.2","5,375.7","5,384.0","5,366.2","-","0.17%"
"Nov 21, 2017","5,368.2","5,345.3","5,371.0","5,339.7","-","0.88%"
"Nov 20, 2017","5,321.3","5,325.5","5,333.3","5,314.3","-","-0.04%"
"Nov 17, 2017","5,323.4","5,324.2","5,333.1","5,315.4","-","0.15%"
"Nov 16, 2017","5,315.5","5,265.8","5,324.7","5,264.9","-","1.21%"
"Nov 15, 2017","5,251.8","5,254.1","5,262.1","5,221.9","-","-0.46%"
"Nov 14, 2017","5,276.3","5,267.3","5,276.5","5,250.5","-","-0.14%"
"Nov 13, 2017","5,283.5","5,254.3","5,298.2","5,254.2","-","0.36%"
"Nov 10, 2017","5,264.4","5,239.5","5,269.2","5,239.2","-","0.28%"
"Nov 09, 2017","5,249.6","5,215.8","5,254.9","5,208.0","-","-0.12%"
"Nov 08, 2017","5,256.0","5,234.1","5,258.5","5,227.3","-","0.46%"
"Nov 07, 2017","5,232.0","5,245.9","5,257.5","5,223.5","-","-0.43%"
"Nov 06, 2017","5,254.7","5,228.3","5,257.9","5,225.1","-","0.46%"
"Nov 03, 2017","5,230.4","5,203.2","5,234.2","5,195.5","-","0.39%"
"Nov 02, 2017","5,210.1","5,222.3","5,226.7","5,194.8","-","-0.48%"
